Severity,City,County,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Junction,Stop,Traffic_Signal,daytime
2,Dallas,Dallas_TX,TX,68,68,10,15,0,Scattered Clouds,FALSE,FALSE,FALSE,day
3,Forsyth,Monroe_GA,GA,51.8,94,5,4.6,0,Heavy Rain,FALSE,FALSE,FALSE,night
3,Dallas,Dallas_TX,TX,63,60,10,4.6,0,Overcast,FALSE,FALSE,FALSE,night
2,North Hollywood,Los Angeles_CA,CA,46,73,10,0,0,Clear,TRUE,FALSE,FALSE,day
3,White Springs,Suwannee_FL,FL,89.6,62,10,10.4,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Riverview,Hillsborough_FL,FL,64,94,10,0,0,Fair,FALSE,FALSE,TRUE,twilight
3,Indianapolis,Marion_IN,IN,30,88,4,11.5,0,Light Snow,FALSE,FALSE,FALSE,day
2,Huntington,Cabell_WV,WV,65,93,3,7,0.11,Light Rain with Thunder,FALSE,FALSE,FALSE,day
2,Oklahoma City,Oklahoma_OK,OK,77,52,10,8.1,0,Clear,FALSE,FALSE,FALSE,day
2,Oakland,Douglas_OR,OR,33.1,96,0.5,0,0.02,Snow,FALSE,FALSE,FALSE,night
3,Austin,Travis_TX,TX,64.9,63,10,5.8,0,Clear,FALSE,FALSE,FALSE,twilight
2,San Antonio,Bexar_TX,TX,89.1,31,10,17.3,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Orlando,Orange_FL,FL,71.6,29,10,12.7,0,Clear,FALSE,FALSE,FALSE,day
2,Scio,Linn_OR,OR,54,90,10,23,0,Cloudy / Windy,FALSE,FALSE,FALSE,twilight
2,Orange,Orange_CA,CA,73,64,10,3,0,Fair,TRUE,FALSE,FALSE,twilight
3,Los Angeles,Los Angeles_CA,CA,75,25,10,0,0,Clear,FALSE,FALSE,FALSE,night
2,Hazlet,Monmouth_NJ,NJ,60.4,95,7,4.6,0,Mostly Cloudy,FALSE,FALSE,FALSE,twilight
2,Hanover Park,Cook_IL,IL,19.9,68,10,8.1,0,Clear,FALSE,FALSE,FALSE,twilight
2,Oklahoma City,Oklahoma_OK,OK,73,87,10,17.3,0,Mostly Cloudy,FALSE,FALSE,TRUE,twilight
2,Pompano Beach,Broward_FL,FL,72,68,10,13.8,0,Clear,FALSE,FALSE,FALSE,day
2,Charlotte,Mecklenburg_NC,NC,63,48,10,11.5,0,Partly Cloudy,FALSE,FALSE,TRUE,day
3,Chicago,Cook_IL,IL,63,84,10,13.8,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Diamond Bar,Los Angeles_CA,CA,86,9,10,9,0,Fair,FALSE,FALSE,FALSE,day
2,Los Angeles,Los Angeles_CA,CA,63,81,4,0,0,Haze,FALSE,FALSE,FALSE,night
2,Penn Valley,Nevada_CA,CA,41,65,10,3.5,0,Clear,FALSE,FALSE,FALSE,day
2,La Grande,Union_OR,OR,23,92,10,6.9,0,Partly Cloudy,FALSE,FALSE,FALSE,day
3,San Simon,Cochise_AZ,AZ,70,15,10,13.8,0,Clear,FALSE,FALSE,FALSE,day
3,Saint Louis,St. Louis County_MO,MO,48,96,5,10.4,0,Overcast,FALSE,FALSE,FALSE,twilight
3,Houston,Harris_TX,TX,51.8,71,10,3.5,0,Overcast,FALSE,FALSE,TRUE,day
2,Harrisburg,Cabarrus_NC,NC,55,58,10,0,0,Fair,FALSE,FALSE,TRUE,day
2,Reinholds,Lancaster_PA,PA,48.9,61,10,0,0,Clear,FALSE,FALSE,FALSE,night
2,Patchogue,Suffolk_NY,NY,41,24,10,18.4,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Oklahoma City,Oklahoma_OK,OK,88.2,52,10,9.2,0,Partly Cloudy,FALSE,FALSE,TRUE,day
2,Houston,Harris_TX,TX,64,46,10,6.9,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Salt Lake City,Salt Lake_UT,UT,82.9,46,10,3.5,0,Scattered Clouds,TRUE,FALSE,FALSE,day
2,West Chicago,DuPage_IL,IL,55.9,90,10,3.5,0,Clear,FALSE,FALSE,FALSE,day
3,Draper,Salt Lake_UT,UT,59,58,10,0,0,Scattered Clouds,FALSE,FALSE,TRUE,day
2,Lodi,San Joaquin_CA,CA,75.9,52,10,21.9,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Dayton,Montgomery_OH,OH,73,66,10,13.8,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Phoenix,Maricopa_AZ,AZ,88,14,10,3.5,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Ogden,Weber_UT,UT,35.1,96,5,6.9,0.14,Rain,FALSE,FALSE,FALSE,night
4,Woodbury,Nassau_NY,NY,53.1,89,10,11.5,0,Overcast,FALSE,FALSE,FALSE,day
2,Miami,Miami-Dade_FL,FL,79,69,10,8.1,0,Clear,FALSE,FALSE,TRUE,day
3,Indianapolis,Marion_IN,IN,50,71,10,5,0,Cloudy,FALSE,FALSE,TRUE,twilight
2,Omaha,Douglas_NE,NE,46.4,72,10,0,0,Clear,FALSE,FALSE,TRUE,night
2,Houston,Harris_TX,TX,87.8,66,10,4.6,0,Partly Cloudy,FALSE,FALSE,FALSE,day
4,Wofford Heights,Kern_CA,CA,26,75,10,3,0,Fair,FALSE,FALSE,FALSE,night
2,Huntersville,Mecklenburg_NC,NC,28.4,93,10,0,0,Clear,FALSE,FALSE,TRUE,twilight
2,Kissimmee,Osceola_FL,FL,63,90,10,4.6,0,Clear,FALSE,FALSE,FALSE,day
2,Dallas,Dallas_TX,TX,86,61,10,15,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Hallandale,Broward_FL,FL,80,87,10,0,0,Cloudy,FALSE,FALSE,FALSE,day
2,Houston,Harris_TX,TX,78.8,74,10,3.5,0,Clear,FALSE,FALSE,TRUE,twilight
2,Darlington,Darlington_SC,SC,62,93,10,0,0,Fair,FALSE,FALSE,FALSE,day
2,Houston,Harris_TX,TX,84,65,10,6,0,Partly Cloudy,FALSE,FALSE,TRUE,day
2,Baton Rouge,East Baton Rouge_LA,LA,90,59,10,14,0,Fair,FALSE,FALSE,TRUE,day
2,Walterboro,Colleton_SC,SC,64.4,94,10,5.8,0,Light Rain,FALSE,FALSE,FALSE,day
3,Houston,Harris_TX,TX,77,83,10,4.6,0,Overcast,FALSE,FALSE,FALSE,night
3,Memphis,Shelby_TN,TN,69.8,100,6,8.1,0,Light Rain,FALSE,FALSE,FALSE,day
3,Orlando,Orange_FL,FL,57.9,47,10,10.4,0,Overcast,FALSE,FALSE,FALSE,night
3,Nashville,Davidson_TN,TN,45,23,10,11.5,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Brooklyn,Kings_NY,NY,73,87,9,0,0,Cloudy,TRUE,FALSE,FALSE,day
2,Sarasota,Sarasota_FL,FL,80.1,64,10,6.9,0,Scattered Clouds,FALSE,FALSE,FALSE,day
3,Woodside,Queens_NY,NY,52,47,10,17.3,0,Mostly Cloudy,FALSE,TRUE,FALSE,day
2,Pleasanton,Alameda_CA,CA,35.1,72,2,0,0,Haze,FALSE,FALSE,FALSE,twilight
2,Kaysville,Davis_UT,UT,41.5,53,10,4.6,0,Clear,FALSE,FALSE,FALSE,day
4,Elkin,Surry_NC,NC,50,100,0.2,0,0,Fog,FALSE,FALSE,FALSE,twilight
2,Los Angeles,Los Angeles_CA,CA,73,76,10,11.5,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Cedar City,Iron_UT,UT,64.9,18,10,6.9,0,Clear,FALSE,FALSE,FALSE,day
2,Clearfield,Davis_UT,UT,43,48,10,5,0,Partly Cloudy,FALSE,FALSE,TRUE,night
3,Glendora,Los Angeles_CA,CA,57.2,77,10,0,0,Overcast,FALSE,FALSE,FALSE,night
3,San Antonio,Bexar_TX,TX,96.1,34,10,9.2,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
3,Union City,Alameda_CA,CA,54,77,10,6.9,0,Clear,FALSE,FALSE,FALSE,twilight
2,Walnut,Los Angeles_CA,CA,71.6,53,10,3.5,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Rio Linda,Sacramento_CA,CA,68,18,10,5,0,Fair,FALSE,FALSE,FALSE,day
2,Evansville,Vanderburgh_IN,IN,30,88,6,10.4,0.05,Light Snow,FALSE,FALSE,FALSE,night
2,Hialeah,Miami-Dade_FL,FL,88,67,10,16.1,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Ashland,Hanover_VA,VA,71.1,93,10,3.5,0,Overcast,FALSE,FALSE,FALSE,day
2,Nashville,Davidson_TN,TN,26.1,58,10,11.5,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,San Diego,San Diego_CA,CA,73,48,10,9.2,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Elk Grove,Sacramento_CA,CA,60.1,83,10,6.9,0,Clear,TRUE,FALSE,FALSE,day
3,Detroit,Wayne_MI,MI,70,44,10,20.7,0,Clear,FALSE,FALSE,FALSE,day
2,Gardena,Los Angeles_CA,CA,71.1,75,9,9.2,0,Clear,FALSE,FALSE,FALSE,day
3,Montclair,San Bernardino_CA,CA,53.6,88,10,0,0,Clear,FALSE,FALSE,FALSE,twilight
3,San Jose,Santa Clara_CA,CA,66,23,10,0,0,Partly Cloudy,TRUE,FALSE,FALSE,day
2,Eugene,Lane_OR,OR,53,89,3,0,0,Cloudy,FALSE,FALSE,FALSE,day
2,Savannah,Chatham_GA,GA,71,94,10,0,0,Fair,FALSE,FALSE,FALSE,day
3,San Diego,San Diego_CA,CA,64,63,10,12.7,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Murfreesboro,Rutherford_TN,TN,26,49,10,16,0,Fair,FALSE,FALSE,FALSE,day
2,Morgan,Morgan_UT,UT,55,58,7,8,0,Showers in the Vicinity,TRUE,FALSE,FALSE,day
2,Costa Mesa,Orange_CA,CA,72,76,10,0,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Anaheim,Orange_CA,CA,75,20,10,4.6,0,Clear,FALSE,FALSE,FALSE,twilight
2,Houston,Harris_TX,TX,77,61,9,4.6,0,Clear,FALSE,FALSE,TRUE,day
4,Lawrenceville,Brunswick_VA,VA,43.9,63,10,0,0,Clear,FALSE,FALSE,FALSE,day
3,San Francisco,San Francisco_CA,CA,60.1,72,10,8.1,0,Partly Cloudy,FALSE,FALSE,TRUE,day
3,San Diego,San Diego_CA,CA,57.9,75,10,5.8,0,Mostly Cloudy,FALSE,FALSE,FALSE,night
2,Flint,Genesee_MI,MI,90,50,10,12.7,0,Clear,FALSE,FALSE,FALSE,day
2,San Diego,San Diego_CA,CA,62,67,10,6,0,Fair,FALSE,FALSE,FALSE,day
3,Arnold,Jefferson_MO,MO,30.9,79,9,24.2,0,Overcast,FALSE,FALSE,FALSE,day
2,Kansas City,Jackson_MO,MO,73.9,40,10,13.8,0,Partly Cloudy,FALSE,FALSE,FALSE,day
3,Mesquite,Dallas_TX,TX,51.8,62,10,9.2,0,Overcast,TRUE,FALSE,FALSE,day
3,San Leandro,Alameda_CA,CA,55,74,10,5.8,0,Mostly Cloudy,FALSE,FALSE,FALSE,night
2,Newhall,Los Angeles_CA,CA,90,19,10,7,0,Fair,FALSE,FALSE,FALSE,day
4,Fayetteville,Onondaga_NY,NY,63,90,10,6,0.01,Light Rain,FALSE,FALSE,FALSE,day
2,Alpine,San Diego_CA,CA,78.8,44,10,6.9,0,Clear,FALSE,FALSE,FALSE,day
2,Berkeley,Alameda_CA,CA,57,59,10,3.5,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Fernley,Lyon_NV,NV,35.1,42,10,11.5,0,Scattered Clouds,FALSE,FALSE,FALSE,day
3,Sherman Oaks,Los Angeles_CA,CA,69.1,23,10,3.5,0,Clear,FALSE,FALSE,FALSE,night
2,Des Moines,Polk_IA,IA,70,88,10,0,0,Fair,FALSE,FALSE,FALSE,day
2,Pittsburgh,Allegheny_PA,PA,9,64,7,17.3,0,Overcast,FALSE,FALSE,TRUE,day
2,Silver Spring,Montgomery_MD,MD,42.8,70,10,10.4,0,Overcast,FALSE,FALSE,TRUE,day
3,Saint Louis,St. Louis County_MO,MO,35.1,33,10,4.6,0,Scattered Clouds,TRUE,FALSE,FALSE,day
3,Providence,Providence_RI,RI,57.9,97,5,5.8,0,Light Rain,FALSE,FALSE,FALSE,day
2,Walnut,Los Angeles_CA,CA,90,31,10,12,0,Fair,FALSE,FALSE,FALSE,day
2,Lehigh Acres,Lee_FL,FL,89.1,53,10,9.2,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,San Bruno,San Mateo_CA,CA,66.9,59,10,18.4,0,Clear,FALSE,FALSE,FALSE,day
2,Dallas,Dallas_TX,TX,33.1,66,10,3.5,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Palm Harbor,Pinellas_FL,FL,75,76,10,6.9,0,Clear,FALSE,FALSE,TRUE,twilight
2,Anaheim,Orange_CA,CA,96,22,10,12,0,Fair,TRUE,FALSE,FALSE,day
2,Dublin,Alameda_CA,CA,52,47,10,12.7,0,Clear,FALSE,FALSE,FALSE,day
2,Camarillo,Ventura_CA,CA,80.1,48,10,11.5,0,Clear,FALSE,FALSE,FALSE,day
3,Saint George,Dorchester_SC,SC,50,100,7,9,0,Rain,FALSE,FALSE,FALSE,day
2,Kennesaw,Cobb_GA,GA,55.4,94,7,0,0,Overcast,FALSE,FALSE,TRUE,day
2,Piedmont,Greenville_SC,SC,78.8,34,10,8.1,0,Clear,FALSE,FALSE,TRUE,day
2,Lancaster,Lancaster_PA,PA,64.9,97,2.5,4.6,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Carson,Los Angeles_CA,CA,66,20,10,5,0,Fair,FALSE,FALSE,FALSE,twilight
2,Austin,Travis_TX,TX,48,71,10,7,0,Fair,FALSE,FALSE,FALSE,day
2,Dallas,Dallas_TX,TX,50,87,10,11.5,0,Overcast,FALSE,FALSE,FALSE,day
2,San Dimas,Los Angeles_CA,CA,53.6,77,10,0,0,Clear,FALSE,FALSE,FALSE,twilight
2,Riverside,Riverside_CA,CA,57.9,78,10,3.5,0,Overcast,FALSE,FALSE,FALSE,day
2,Seminole,Pinellas_FL,FL,76,50,10,10,0,Fair,FALSE,FALSE,TRUE,day
2,Dallas,Dallas_TX,TX,96,41,10,12,0,Fair,FALSE,FALSE,TRUE,day
2,Plymouth,Plymouth_MA,MA,37,89,10,9,0,Cloudy,FALSE,FALSE,FALSE,day
3,Ocala,Marion_FL,FL,66.2,78,7,0,0,Overcast,FALSE,FALSE,TRUE,day
3,Swansea,Lexington_SC,SC,87.1,61,10,8.1,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Porter Ranch,Los Angeles_CA,CA,59,82,10,10,0,Cloudy,FALSE,FALSE,FALSE,night
2,Novato,Marin_CA,CA,57.2,88,4,0,0,Overcast,FALSE,FALSE,FALSE,day
2,Rochester,Monroe_NY,NY,51,63,10,10,0,Cloudy,FALSE,FALSE,FALSE,day
3,Fort Lauderdale,Broward_FL,FL,72,97,4,6.9,0.35,Light Rain,FALSE,FALSE,FALSE,day
2,New York,New York_NY,NY,44,93,4,10,0.05,Rain,TRUE,FALSE,FALSE,twilight
2,Saint Petersburg,Pinellas_FL,FL,72,71,10,9.2,0,Clear,FALSE,FALSE,FALSE,twilight
3,Spartanburg,Spartanburg_SC,SC,55.4,54,10,15,0,Clear,FALSE,FALSE,FALSE,day
2,Brookline,Norfolk_MA,MA,43,80,10,16.1,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Richmond,Contra Costa_CA,CA,66.9,63,10,4.6,0,Clear,FALSE,FALSE,FALSE,day
3,Baldwin Park,Los Angeles_CA,CA,73,71,10,3,0,Fair,FALSE,FALSE,FALSE,night
2,Richmond,Richmond City_VA,VA,55,100,10,12.7,0,Overcast,FALSE,FALSE,FALSE,night
2,Charlotte,Mecklenburg_NC,NC,37,96,3,11.5,0.17,Rain,FALSE,FALSE,TRUE,night
3,Los Angeles,Los Angeles_CA,CA,52,93,4,8.1,0.07,Heavy Rain,FALSE,FALSE,FALSE,night
2,Medford,Middlesex_MA,MA,32,42,10,13.8,0,Partly Cloudy,FALSE,FALSE,FALSE,day
3,Central Valley,Orange_NY,NY,82.4,32,20,5.8,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Oakland,Alameda_CA,CA,52,86,10,4.6,0,Clear,TRUE,FALSE,FALSE,night
2,Ardmore,Montgomery_PA,PA,46.4,93,10,3.5,0,Overcast,FALSE,FALSE,TRUE,twilight
4,Cheltenham,Prince Georges_MD,MD,79.3,57,10,4.6,0,Partly Cloudy,FALSE,FALSE,TRUE,day
2,Bonsall,San Diego_CA,CA,75,62,7,8,0,Fair,FALSE,FALSE,TRUE,day
2,San Diego,San Diego_CA,CA,70,13,10,3,0,Partly Cloudy,FALSE,FALSE,FALSE,twilight
4,Kansas City,Jackson_MO,MO,23,68,10,12.7,0,Clear,FALSE,FALSE,FALSE,day
2,Whittier,Los Angeles_CA,CA,66.9,79,10,0,0,Overcast,FALSE,FALSE,TRUE,day
2,Jonesborough,Washington_TN,TN,69.1,93,10,0,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Bend,Deschutes_OR,OR,21.2,93,10,3.5,0,Overcast,FALSE,FALSE,FALSE,night
2,Puyallup,Pierce_WA,WA,39,99,10,5,0,Cloudy,FALSE,FALSE,FALSE,night
2,Klamath Falls,Klamath_OR,OR,37,48,10,3.5,0,Clear,FALSE,FALSE,FALSE,day
2,King William,King William_VA,VA,83.8,21,10,10.4,0,Scattered Clouds,FALSE,FALSE,FALSE,day
3,Newark,Essex_NJ,NJ,77,84,10,4.6,0,Mostly Cloudy,TRUE,FALSE,FALSE,twilight
2,Milpitas,Santa Clara_CA,CA,54,69,10,0,0,Fair,FALSE,FALSE,TRUE,day
2,Sacramento,Sacramento_CA,CA,64,32,10,7,0,Fair,FALSE,FALSE,FALSE,night
4,Orlando,Orange_FL,FL,88,65,10,9.2,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Houston,Harris_TX,TX,75.9,91,7,5.8,0,Mostly Cloudy,FALSE,FALSE,TRUE,twilight
3,Houston,Harris_TX,TX,70,76,10,12,0,Fair,FALSE,FALSE,FALSE,day
2,Athens,Limestone_AL,AL,50,61,10,10.4,0,Clear,FALSE,TRUE,FALSE,day
3,Bethlehem,Northampton_PA,PA,87.1,55,10,11.5,0,Clear,FALSE,FALSE,FALSE,day
2,Fresno,Fresno_CA,CA,82,22,10,4.6,0,Scattered Clouds,TRUE,FALSE,FALSE,day
3,Pendleton,Madison_IN,IN,68,43,10,11.5,0,Clear,FALSE,FALSE,FALSE,day
3,Naples,Collier_FL,FL,79,69,10,4.6,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Charlotte,Mecklenburg_NC,NC,51.8,94,0.5,0,0,Fog,FALSE,FALSE,FALSE,day
2,Springfield,Greene_MO,MO,55.9,84,10,0,0,Clear,FALSE,FALSE,FALSE,day
3,Detroit,Wayne_MI,MI,5,76,10,5.8,0,Clear,FALSE,FALSE,FALSE,night
2,Houston,Harris_TX,TX,52,86,9,9,0,Light Rain,FALSE,FALSE,TRUE,day
3,Cincinnati,Hamilton_OH,OH,69,100,4,0,0,Cloudy,TRUE,FALSE,FALSE,day
3,San Diego,San Diego_CA,CA,72,64,10,10,0,Partly Cloudy,TRUE,FALSE,FALSE,day
3,Austin,Travis_TX,TX,60.1,33,10,9.2,0,Clear,FALSE,FALSE,FALSE,day
2,Warr Acres,Oklahoma_OK,OK,42.1,58,10,13.8,0,Clear,FALSE,FALSE,FALSE,twilight
